month,title,prefecture,address,lat,lon
201801,[秋葉原] 休日もくもく会 #4  (テーマ自由!),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,[秋葉原] 機械学習もくもく会 「初心者歓迎！」,東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,初めての深層学習 初心者のための画像認識AI <特典>Liteプラン1ヶ月受講可能！,東京都,東京都港区麻布台1-9-14 ランドコム麻布台8F,35.659725900000,139.742161100000
201801,PyLadies Tokyo - スタッフミーティング #12,東京都,東京都千代田区東紺屋町30 サンハイツ北村ビル 710号室 ,35.693017600000,139.774593100000
201801,CoderDojo伊勢 第5回 (子ども向けプログラミングクラブ),三重県,三重県伊勢市八日市場町13-1,34.489772000000,136.698986800000
201801,第36回【フリースタイル】PORTもくもく会【学生歓迎！】,東京都,東京都新宿区西新宿8-17-1 (住友不動産新宿グランドタワー12F),35.696031100000,139.690523000000
201801,【初・中級者向け】TensorFlowチュートリアルで学ぶディープラーニング #2,東京都,東京都渋谷区代々木４丁目２８−８ (代々木村田マンション 711),35.682893800000,139.690567800000
201801,2時間でマスターしちゃう AWS Cloud9 & AWS SDK ハンズオン Go言語偏,東京都,東京都渋谷区道玄坂1-17-9 ヴェラハイツ506号室 ,35.657178000000,139.696828000000
201801,(1/20PM土)第63回 オープンCAE勉強会@関西+新年会,大阪府,大阪市北区大深町3番1号 グランフロント大阪 ナレッジキャピタル 4階,34.705310200000,135.494826000000
201801,【初・中級者向け】様々な距離と機械学習・クラスタリング #1,東京都,東京都千代田区神田岩本町1-1 (岩本町ビル74号室),35.696164200000,139.775049300000
201801,【初心者向け】Python+Jupyterで学ぶ機械学習プログラミング #3,東京都,東京都千代田区神田岩本町1-1 (岩本町ビル74号室),35.696164200000,139.775049300000
201801,データ前処理研究会 by Team AI 1/15(月),東京都,東京都渋谷区宇田川町36-17 ニューシブヤマンション202,35.661791400000,139.696462100000
201801,AI・機械学習その前に！データ統合・ETLツール「Pentaho」体験セミナー,東京都,東京都中央区銀座6-16-12(丸高ビル5F),35.667870100000,139.765420200000
201801,数学勉強会(大学教養過程の解析と線形代数) by Team AI 1/26(金),東京都,東京都渋谷区宇田川町36-17 ニューシブヤマンション202,35.661791400000,139.696462100000
201801,[秋葉原] ゆるふわPythonもくもく勉強会 (初心者歓迎！),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,オトナの技術共有会@未来会議室,熊本県,熊本県熊本市 中央区下通１丁目１２−２７,32.799809000000,130.708227300000
201801,【ヒカ☆ラボ】「Python言語」二歩目を踏み出そう！,大阪府,大阪市北区大深町4番20号 グランフロント大阪タワーA 35階,34.704113100000,135.494830600000
201801,[秋葉原] Pythonではじめる機械学習勉強会 (※初心者向け),東京都,東京都千代田区神田須田町２丁目１９−２３  (野村第３ビル４階),35.696575200000,139.771830100000
201801,【初・中級者向け】Python+Janome+gensim で学ぶ自然言語処理入門 #1,,東京都千代田区富士見2-2-6 (今井ビル2階 会議室2_ルノアール飯田橋西口店),,
201801,[秋葉原] ゼロから作るDeep Learning 輪読勉強会(4章後半 学習アルゴリズムの実装),東京都,東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),35.696575200000,139.771830100000
201801,Python ボルダリング部 #108,東京都,東京都渋谷区桜丘町9-1,35.654805900000,139.702923100000
201801,みんなのPython勉強会#31,東京都,〒102-0083 東京都千代田区麹町２丁目１０−９,35.685425600000,139.740552000000
201801,【大阪】DeepLearning初心者による初心者のための読書会II【第５章】,大阪府,大阪市中央区本町4丁目7-7 飛鳥ビル303 ,34.684914700000,135.498200900000
201801,おのみち.py #4,広島県,広島県尾道市土堂2丁目10番24号,34.408517300000,133.203530300000
201801,プログラミング勉強部屋　1月23日（ほぼ毎週開催）,東京都,102-0093　　東京都千代田区平河町1-4-3  (平河町伏見ビル 2F),35.682820300000,139.739030000000
